County & State,County,State,latitude,longitude,optimal_customer_rate,anticipated_win_rate,target_margin,anticipated_provider_rate
Dubois CountyIN,Dubois County,IN,38.357918,-86.8220341,950,0.50,0.95,42
Dubuque CountyIA,Dubuque County,IA,42.4694679,-90.8294002,950,0.50,0.95,42
Duchesne CountyUT,Duchesne County,UT,40.2172448,-110.5215459,950,0.50,0.95,42
Dukes CountyMA,Dukes County,MA,41.4039539,-70.6692655,950,0.50,0.95,42
Dundy CountyNE,Dundy County,NE,40.1306121,-101.6157773,950,0.50,0.95,42
Dunklin CountyMO,Dunklin County,MO,36.2196795,-90.0373201,950,0.50,0.95,42
Dunn CountyND,Dunn County,ND,47.2121625,-102.72602,950,0.50,0.95,42
Dunn CountyWI,Dunn County,WI,44.909416,-91.9099238,950,0.50,0.95,42
DuPage CountyIL,DuPage County,IL,41.8243831,-88.0900762,950,0.50,0.95,42
Duplin CountyNC,Duplin County,NC,34.8840095,-78.0195387,950,0.50,0.95,42
Durham CountyNC,Durham County,NC,36.0483715,-78.8835548,950,0.50,0.95,42
Dutchess CountyNY,Dutchess County,NY,41.7784372,-73.7477857,950,0.50,0.95,42
Duval CountyFL,Duval County,FL,30.3500511,-81.6035062,950,0.50,0.95,42
Duval CountyTX,Duval County,TX,27.7525271,-98.5721016,950,0.50,0.95,42
Dyer CountyTN,Dyer County,TN,36.0445248,-89.436391,950,0.50,0.95,42
Eagle CountyCO,Eagle County,CO,39.576406,-106.7234639,950,0.50,0.95,42
Early CountyGA,Early County,GA,31.3901106,-84.8984775,950,0.50,0.95,42
East Baton Rouge ParishLA,East Baton Rouge Parish,LA,30.5693593,-91.09694,950,0.50,0.95,42
East Carroll ParishLA,East Carroll Parish,LA,32.7570923,-91.2506002,950,0.50,0.95,42
East Feliciana ParishLA,East Feliciana Parish,LA,30.8458948,-91.0203224,950,0.50,0.95,42
Eastland CountyTX,Eastland County,TX,32.3240465,-98.7481167,950,0.50,0.95,42
Eaton CountyMI,Eaton County,MI,42.5886496,-84.7733325,950,0.50,0.95,42
Eau Claire CountyWI,Eau Claire County,WI,44.7683909,-91.2891036,950,0.50,0.95,42
Echols CountyGA,Echols County,GA,30.7503289,-82.9501558,950,0.50,0.95,42
Ector CountyTX,Ector County,TX,31.8246483,-102.5298028,950,0.50,0.95,42
Eddy CountyND,Eddy County,ND,47.6963964,-98.8871816,950,0.50,0.95,42
Eddy CountyNM,Eddy County,NM,32.4170622,-104.4723301,950,0.50,0.95,42
Edgar CountyIL,Edgar County,IL,39.7131223,-87.7763333,950,0.50,0.95,42
Edgecombe CountyNC,Edgecombe County,NC,35.8840053,-77.6536125,950,0.50,0.95,42
Edgefield CountySC,Edgefield County,SC,33.8015886,-81.9534815,950,0.50,0.95,42
Edmonson CountyKY,Edmonson County,KY,37.1941682,-86.2158497,950,0.50,0.95,42
Edmunds CountySD,Edmunds County,SD,45.458626,-99.181873,950,0.50,0.95,42
Edwards CountyIL,Edwards County,IL,38.4267827,-88.050979,950,0.50,0.95,42
Edwards CountyKS,Edwards County,KS,37.865958,-99.2785583,950,0.50,0.95,42
Edwards CountyTX,Edwards County,TX,29.9282955,-100.439656,950,0.50,0.95,42
Effingham CountyGA,Effingham County,GA,32.378148,-81.3839326,950,0.50,0.95,42
Effingham CountyIL,Effingham County,IL,39.0621773,-88.556531,950,0.50,0.95,42
El Dorado CountyCA,El Dorado County,CA,38.7426376,-120.4357631,950,0.50,0.95,42
El Paso CountyCO,El Paso County,CO,38.9108325,-104.4723301,950,0.50,0.95,42
El Paso CountyTX,El Paso County,TX,31.8039824,-106.2051484,950,0.50,0.95,42
Elbert CountyCO,Elbert County,CO,39.3537004,-104.1930918,950,0.50,0.95,42
Elbert CountyGA,Elbert County,GA,34.0795372,-82.8640623,950,0.50,0.95,42
Elk CountyKS,Elk County,KS,37.3936365,-96.1526985,950,0.50,0.95,42
Elk CountyPA,Elk County,PA,41.4284924,-78.5660852,950,0.50,0.95,42
Elkhart CountyIN,Elkhart County,IN,41.6062253,-85.8486236,950,0.50,0.95,42
Elko CountyNV,Elko County,NV,41.2220182,-115.2837585,950,0.50,0.95,42
Elliott CountyKY,Elliott County,KY,38.1575088,-83.1220074,950,0.50,0.95,42
Ellis CountyKS,Ellis County,KS,38.8683549,-99.2785583,950,0.50,0.95,42
Ellis CountyOK,Ellis County,OK,36.2920072,-99.8124935,950,0.50,0.95,42
Ellis CountyTX,Ellis County,TX,32.2619765,-96.8350999,950,0.50,0.95,42
Ellsworth CountyKS,Ellsworth County,KS,38.615225,-98.2212979,950,0.50,0.95,42
Elmore CountyAL,Elmore County,AL,32.5647083,-86.0121573,950,0.50,0.95,42
Elmore CountyID,Elmore County,ID,43.1154284,-115.5264458,950,0.50,0.95,42
Emanuel CountyGA,Emanuel County,GA,32.5726629,-82.3017728,950,0.50,0.95,42
Emery CountyUT,Emery County,UT,39.0738385,-110.7122465,950,0.50,0.95,42
Emmet CountyIA,Emmet County,IA,43.34943,-94.6863782,950,0.50,0.95,42
Emmet CountyMI,Emmet County,MI,45.6418969,-84.9769067,950,0.50,0.95,42
Emmons CountyND,Emmons County,ND,46.2061318,-100.2953039,950,0.50,0.95,42
Emporia City,Emporia City,VA,36.6859829,-77.5424809,950,0.50,0.95,42
Erath CountyTX,Erath County,TX,32.1793404,-98.2212979,950,0.50,0.95,42
Erie CountyNY,Erie County,NY,42.6974933,-78.7476208,950,0.50,0.95,42
Erie CountyOH,Erie County,OH,41.4349882,-82.4752757,950,0.50,0.95,42
Erie CountyPA,Erie County,PA,42.0521954,-80.1875065,950,0.50,0.95,42
Escambia CountyAL,Escambia County,AL,31.1394734,-87.1422895,950,0.50,0.95,42
Escambia CountyFL,Escambia County,FL,30.6389408,-87.3413599,950,0.50,0.95,42
Esmeralda CountyNV,Esmeralda County,NV,37.7866167,-117.3616476,950,0.50,0.95,42
Essex CountyMA,Essex County,MA,42.7051144,-70.9071236,950,0.50,0.95,42
Essex CountyNJ,Essex County,NJ,40.7947466,-74.2648829,950,0.50,0.95,42
Essex CountyNY,Essex County,NY,44.0107408,-73.9507728,950,0.50,0.95,42
Essex CountyVA,Essex County,VA,37.9671684,-76.964306,950,0.50,0.95,42
Essex CountyVT,Essex County,VT,44.7682631,-71.7436155,950,0.50,0.95,42
Estill CountyKY,Estill County,KY,37.6975384,-83.9744262,950,0.50,0.95,42
Etowah CountyAL,Etowah County,AL,34.0455341,-86.0529604,950,0.50,0.95,42
Eureka CountyNV,Eureka County,NV,39.9313066,-116.2304616,950,0.50,0.95,42
Evangeline ParishLA,Evangeline Parish,LA,30.7821781,-92.3813621,950,0.50,0.95,42
Evans CountyGA,Evans County,GA,32.1427011,-81.909826,950,0.50,0.95,42
Fairbanks North Star BoroughAK,Fairbanks North Star Borough,AK,64.9526102,-146.4744155,950,0.50,0.95,42
Fairfax CityVA,Fairfax City,VA,38.8459879,-77.3053035,950,0.50,0.95,42
Fairfax CountyVA,Fairfax County,VA,38.7438944,-77.2405153,950,0.50,0.95,42
Fairfield CountyCT,Fairfield County,CT,41.2559654,-73.3708696,950,0.50,0.95,42
Fairfield CountyOH,Fairfield County,OH,39.830506,-82.6483442,950,0.50,0.95,42
Fairfield CountySC,Fairfield County,SC,34.4478348,-81.0754657,950,0.50,0.95,42
Fajardo MunicipioPR,Fajardo Municipio,PR,18.3384392,-65.6563432,950,0.50,0.95,42
Fall River CountySD,Fall River County,SD,43.2240279,-103.4511768,950,0.50,0.95,42
Fallon CountyMT,Fallon County,MT,46.3762402,-104.4280327,950,0.50,0.95,42
Falls Church CityVA,Falls Church City,VA,38.882334,-77.1710914,950,0.50,0.95,42
Falls CountyTX,Falls County,TX,31.1636412,-97.0068393,950,0.50,0.95,42
Fannin CountyGA,Fannin County,GA,34.8580405,-84.2278796,950,0.50,0.95,42
Fannin CountyTX,Fannin County,TX,33.5544296,-96.1526985,950,0.50,0.95,42
Faribault CountyMN,Faribault County,MN,43.6448766,-93.9878427,950,0.50,0.95,42
Faulk CountySD,Faulk County,SD,45.0827008,-99.1531325,950,0.50,0.95,42
Faulkner CountyAR,Faulkner County,AR,35.1035858,-92.3813621,950,0.50,0.95,42
Fauquier CountyVA,Fauquier County,VA,38.7208787,-77.7909776,950,0.50,0.95,42
Fayette CountyAL,Fayette County,AL,33.6871392,-87.7763333,950,0.50,0.95,42
Fayette CountyGA,Fayette County,GA,33.4502206,-84.4802606,950,0.50,0.95,42
Fayette CountyIA,Fayette County,IA,42.9258199,-91.9099238,950,0.50,0.95,42
Fayette CountyIL,Fayette County,IL,39.0669568,-89.0179332,950,0.50,0.95,42
Fayette CountyIN,Fayette County,IN,39.5920377,-85.1479364,950,0.50,0.95,42
Fayette CountyKY,Fayette County,KY,38.0606478,-84.4802606,950,0.50,0.95,42
Fayette CountyOH,Fayette County,OH,39.5919809,-83.4643551,950,0.50,0.95,42
Fayette CountyPA,Fayette County,PA,39.9272324,-79.6502105,950,0.50,0.95,42
Fayette CountyTN,Fayette County,TN,35.1257427,-89.4742177,950,0.50,0.95,42
Fayette CountyTX,Fayette County,TX,29.8896442,-96.8350999,950,0.50,0.95,42
Fayette CountyWV,Fayette County,WV,38.0615913,-81.0754657,950,0.50,0.95,42
Fentress CountyTN,Fentress County,TN,36.37106,-84.8984775,950,0.50,0.95,42
Fergus CountyMT,Fergus County,MT,47.2126745,-109.4141,950,0.50,0.95,42
Ferry CountyWA,Ferry County,WA,48.4718375,-118.4974069,950,0.50,0.95,42
Fillmore CountyMN,Fillmore County,MN,43.6956298,-92.0665197,950,0.50,0.95,42
Fillmore CountyNE,Fillmore County,NE,40.4710119,-97.5247243,950,0.50,0.95,42
Finney CountyKS,Finney County,KS,38.0625252,-100.8903099,950,0.50,0.95,42
Fisher CountyTX,Fisher County,TX,32.7398733,-100.3497895,950,0.50,0.95,42
Flagler CountyFL,Flagler County,FL,29.4086072,-81.2518833,950,0.50,0.95,42
Flathead CountyMT,Flathead County,MT,48.424152,-114.15315,950,0.50,0.95,42
Fleming CountyKY,Fleming County,KY,38.3987633,-83.6773928,950,0.50,0.95,42
Florence CountySC,Florence County,SC,33.9828684,-79.6502105,950,0.50,0.95,42
Florence CountyWI,Florence County,WI,45.8161658,-88.3547524,950,0.50,0.95,42
Florida MunicipioPR,Florida Municipio,PR,18.3630091,-66.5581092,950,0.50,0.95,42
Floyd CountyGA,Floyd County,GA,34.2828967,-85.2308414,950,0.50,0.95,42
Floyd CountyIA,Floyd County,IA,43.0615947,-92.8577105,950,0.50,0.95,42
Floyd CountyIN,Floyd County,IN,38.2869276,-85.8895551,950,0.50,0.95,42
Floyd CountyKY,Floyd County,KY,37.5455463,-82.7778579,950,0.50,0.95,42
Floyd CountyTX,Floyd County,TX,34.0791533,-101.2523792,950,0.50,0.95,42
Floyd CountyVA,Floyd County,VA,36.9446308,-80.3213106,950,0.50,0.95,42
Fluvanna CountyVA,Fluvanna County,VA,37.8532863,-78.2476146,950,0.50,0.95,42
Foard CountyTX,Foard County,TX,33.9865825,-99.7678687,950,0.50,0.95,42
Fond du Lac CountyWI,Fond du Lac County,WI,43.7008379,-88.2461183,950,0.50,0.95,42
Ford CountyIL,Ford County,IL,40.4988592,-88.2071598,950,0.50,0.95,42
Ford CountyKS,Ford County,KS,37.6540069,-99.8124935,950,0.50,0.95,42
Forest CountyPA,Forest County,PA,41.5341012,-79.2451149,950,0.50,0.95,42
Forest CountyWI,Forest County,WI,45.6704497,-88.8375807,950,0.50,0.95,42
Forrest CountyMS,Forrest County,MS,31.2148677,-89.2847251,950,0.50,0.95,42
Forsyth CountyGA,Forsyth County,GA,34.2358502,-84.1435136,950,0.50,0.95,42
Forsyth CountyNC,Forsyth County,NC,36.1200003,-80.1875065,950,0.50,0.95,42
Fort Bend CountyTX,Fort Bend County,TX,29.5692614,-95.8142885,950,0.50,0.95,42
Foster CountyND,Foster County,ND,47.4991972,-98.874618,950,0.50,0.95,42
Fountain CountyIN,Fountain County,IN,40.1539502,-87.2618328,950,0.50,0.95,42
Franklin cityVA,Franklin city,VA,36.6776507,-76.9224608,950,0.50,0.95,42
Franklin CountyAL,Franklin County,AL,34.3967457,-87.6186379,950,0.50,0.95,42
Franklin CountyAR,Franklin County,AR,35.5927966,-93.8248241,950,0.50,0.95,42
Franklin CountyFL,Franklin County,FL,29.7817695,-84.8567932,950,0.50,0.95,42
Franklin CountyGA,Franklin County,GA,34.3645724,-83.2077645,950,0.50,0.95,42
Franklin CountyIA,Franklin County,IA,42.7372361,-93.3388917,950,0.50,0.95,42
Franklin CountyID,Franklin County,ID,42.2100342,-111.7614661,950,0.50,0.95,42
Franklin CountyIL,Franklin County,IL,38.0157197,-88.90306,950,0.50,0.95,42
Franklin CountyIN,Franklin County,IN,39.4233977,-85.0649071,950,0.50,0.95,42
Franklin CountyKS,Franklin County,KS,38.6165913,-95.3102505,950,0.50,0.95,42
Franklin CountyKY,Franklin County,KY,36.7187855,-86.5785573,950,0.50,0.95,42
Franklin CountyMA,Franklin County,MA,42.530599,-72.6151169,950,0.50,0.95,42
Franklin CountyME,Franklin County,ME,45.0386059,-70.3979538,950,0.50,0.95,42
Franklin CountyMO,Franklin County,MO,38.3953601,-91.135302,950,0.50,0.95,42
Franklin CountyMS,Franklin County,MS,31.4883928,-90.8675134,950,0.50,0.95,42
Franklin CountyNC,Franklin County,NC,36.0730279,-78.2476146,950,0.50,0.95,42
Franklin CountyNE,Franklin County,NE,40.2089857,-98.9245343,950,0.50,0.95,42
Franklin CountyNY,Franklin County,NY,44.5926135,-74.3387798,950,0.50,0.95,42
Franklin CountyOH,Franklin County,OH,40.0154745,-82.9931607,950,0.50,0.95,42
Franklin CountyPA,Franklin County,PA,39.8923855,-77.6536125,950,0.50,0.95,42
Franklin CountyTN,Franklin County,TN,35.1946865,-86.0529604,950,0.50,0.95,42
Franklin CountyTX,Franklin County,TX,33.1959954,-95.1849219,950,0.50,0.95,42
Franklin CountyVA,Franklin County,VA,36.9458815,-79.8296743,950,0.50,0.95,42
Franklin CountyVT,Franklin County,VT,44.8429222,-72.9340443,950,0.50,0.95,42
Franklin CountyWA,Franklin County,WA,46.4937363,-118.8672379,950,0.50,0.95,42
Franklin ParishLA,Franklin Parish,LA,32.0737103,-91.5983959,950,0.50,0.95,42
Frederick CountyMD,Frederick County,MD,39.3844507,-77.4701972,950,0.50,0.95,42
Frederick CountyVA,Frederick County,VA,39.17988,-78.2476146,950,0.50,0.95,42
Fredericksburg cityVA,Fredericksburg city,VA,38.3003751,-77.4588059,950,0.50,0.95,42
Freeborn CountyMN,Freeborn County,MN,43.6656285,-93.3388917,950,0.50,0.95,42
Freestone CountyTX,Freestone County,TX,31.7534889,-96.1526985,950,0.50,0.95,42
Fremont CountyCO,Fremont County,CO,38.5306514,-105.5005483,950,0.50,0.95,42
Fremont CountyIA,Fremont County,IA,40.7400403,-95.6457951,950,0.50,0.95,42
Fremont CountyID,Fremont County,ID,44.2242743,-111.4790031,950,0.50,0.95,42
Fremont CountyWY,Fremont County,WY,43.0119968,-108.6175626,950,0.50,0.95,42
Fresno CountyCA,Fresno County,CA,36.9858984,-119.2320784,950,0.50,0.95,42
Frio CountyTX,Frio County,TX,28.831355,-99.1013498,950,0.50,0.95,42
Frontier CountyNE,Frontier County,NE,40.5744778,-100.3497895,950,0.50,0.95,42
Fulton CountyAR,Fulton County,AR,36.3797374,-91.7928402,950,0.50,0.95,42
Fulton CountyGA,Fulton County,GA,33.8033965,-84.3962535,950,0.50,0.95,42
Fulton CountyIL,Fulton County,IL,40.5531823,-90.2244662,950,0.50,0.95,42
Fulton CountyIN,Fulton County,IN,41.0204161,-86.2970998,950,0.50,0.95,42
Fulton CountyKY,Fulton County,KY,36.5630482,-89.1324866,950,0.50,0.95,42
Fulton CountyNY,Fulton County,NY,43.1118737,-74.4994517,950,0.50,0.95,42
Fulton CountyOH,Fulton County,OH,41.5719341,-84.1435136,950,0.50,0.95,42
Fulton CountyPA,Fulton County,PA,39.9048759,-78.1564432,950,0.50,0.95,42
Furnas CountyNE,Furnas County,NE,40.121397,-99.9912254,950,0.50,0.95,42
Gadsden CountyFL,Gadsden County,FL,30.5562947,-84.6479124,950,0.50,0.95,42
Gage CountyNE,Gage County,NE,40.1989041,-96.663812,950,0.50,0.95,42
Gaines CountyTX,Gaines County,TX,32.6987519,-102.7135121,950,0.50,0.95,42
Galax cityVA,Galax city,VA,36.6612387,-80.9239671,950,0.50,0.95,42
Gallatin CountyIL,Gallatin County,IL,37.7107751,-88.2461183,950,0.50,0.95,42
Gallatin CountyKY,Gallatin County,KY,38.7295069,-84.8776392,950,0.50,0.95,42
Gallatin CountyMT,Gallatin County,MT,45.5388865,-111.1194231,950,0.50,0.95,42
Gallia CountyOH,Gallia County,OH,38.8619254,-82.345189,950,0.50,0.95,42
Galveston CountyTX,Galveston County,TX,29.3763499,-94.8520636,950,0.50,0.95,42
Garden CountyNE,Garden County,NE,41.7369721,-102.2547919,950,0.50,0.95,42
Garfield CountyCO,Garfield County,CO,39.6584775,-107.763621,950,0.50,0.95,42
Garfield CountyMT,Garfield County,MT,47.2662361,-107.1263146,950,0.50,0.95,42
Garfield CountyNE,Garfield County,NE,41.9678957,-98.9245343,950,0.50,0.95,42
Garfield CountyOK,Garfield County,OK,36.4361392,-97.87216,950,0.50,0.95,42
Garfield CountyUT,Garfield County,UT,37.8400344,-111.2845025,950,0.50,0.95,42
Garfield CountyWA,Garfield County,WA,46.5185629,-117.5276611,950,0.50,0.95,42
Garland CountyAR,Garland County,AR,34.5559285,-93.1779659,950,0.50,0.95,42
Garrard CountyKY,Garrard County,KY,37.6413234,-84.564147,950,0.50,0.95,42
Garrett CountyMD,Garrett County,MD,39.5681243,-79.2902133,950,0.50,0.95,42
Garvin CountyOK,Garvin County,OK,34.7289063,-97.3516558,950,0.50,0.95,42
Garza CountyTX,Garza County,TX,33.1955897,-101.2523792,950,0.50,0.95,42
Gasconade CountyMO,Gasconade County,MO,38.4335915,-91.4821482,950,0.50,0.95,42
Gaston CountyNC,Gaston County,NC,35.2895651,-81.2078164,950,0.50,0.95,42
Gates CountyNC,Gates County,NC,36.4202077,-76.6874701,950,0.50,0.95,42
Geary CountyKS,Geary County,KS,38.9984685,-96.7922355,950,0.50,0.95,42
Geauga CountyOH,Geauga County,OH,41.4641521,-81.2078164,950,0.50,0.95,42
Gem CountyID,Gem County,ID,44.0324936,-116.3589245,950,0.50,0.95,42
Genesee CountyMI,Genesee County,MI,43.0777289,-83.6773928,950,0.50,0.95,42
Genesee CountyNY,Genesee County,NY,42.9837843,-78.1564432,950,0.50,0.95,42
Geneva CountyAL,Geneva County,AL,31.0990456,-85.684578,950,0.50,0.95,42
Gentry CountyMO,Gentry County,MO,40.1406981,-94.479976,950,0.50,0.95,42
George CountyMS,George County,MS,30.8431226,-88.6723578,950,0.50,0.95,42
Georgetown CountySC,Georgetown County,SC,33.4213399,-79.2902133,950,0.50,0.95,42
Gibson CountyIN,Gibson County,IN,38.3338249,-87.5791287,950,0.50,0.95,42
Gibson CountyTN,Gibson County,TN,35.9969735,-88.864698,950,0.50,0.95,42
Gila CountyAZ,Gila County,AZ,33.6370567,-110.5215459,950,0.50,0.95,42
Gilchrist CountyFL,Gilchrist County,FL,29.6871128,-82.820974,950,0.50,0.95,42
Giles CountyTN,Giles County,TN,35.0894745,-86.9824288,950,0.50,0.95,42
Giles CountyVA,Giles County,VA,37.3132885,-80.6770787,950,0.50,0.95,42
Gillespie CountyTX,Gillespie County,TX,30.314993,-98.9245343,950,0.50,0.95,42
Gilliam CountyOR,Gilliam County,OR,45.4565608,-120.1802024,950,0.50,0.95,42
Gilmer CountyGA,Gilmer County,GA,34.6935359,-84.4802606,950,0.50,0.95,42
Gilmer CountyWV,Gilmer County,WV,38.9203312,-80.8543847,950,0.50,0.95,42
Gilpin CountyCO,Gilpin County,CO,39.8770159,-105.4536718,950,0.50,0.95,42
Glacier CountyMT,Glacier County,MT,48.5217475,-112.9196649,950,0.50,0.95,42
Glades CountyFL,Glades County,FL,26.984415,-81.0754657,950,0.50,0.95,42
Gladwin CountyMI,Gladwin County,MI,44.0327885,-84.3542049,950,0.50,0.95,42
Glascock CountyGA,Glascock County,GA,33.2422994,-82.6267345,950,0.50,0.95,42
Glasscock CountyTX,Glasscock County,TX,31.912308,-101.6157773,950,0.50,0.95,42
Glenn CountyCA,Glenn County,CA,39.6437813,-122.4467238,950,0.50,0.95,42
Gloucester CountyNJ,Gloucester County,NJ,39.7103023,-75.1078332,950,0.50,0.95,42
Gloucester CountyVA,Gloucester County,VA,37.4128281,-76.5025742,950,0.50,0.95,42
Glynn CountyGA,Glynn County,GA,31.2624169,-81.6035062,950,0.50,0.95,42
Gogebic CountyMI,Gogebic County,MI,46.4392785,-89.921474,950,0.50,0.95,42
Golden Valley CountyMT,Golden Valley County,MT,46.3709324,-109.174385,950,0.50,0.95,42
Golden Valley CountyND,Golden Valley County,ND,47.0077031,-103.7914154,950,0.50,0.95,42
Goliad CountyTX,Goliad County,TX,28.5673709,-97.3516558,950,0.50,0.95,42
Gonzales CountyTX,Gonzales County,TX,29.4834878,-97.5247243,950,0.50,0.95,42
Goochland CountyVA,Goochland County,VA,37.7415997,-77.973865,950,0.50,0.95,42
Goodhue CountyMN,Goodhue County,MN,44.4430251,-92.6983868,950,0.50,0.95,42
Gooding CountyID,Gooding County,ID,42.9180557,-114.7494346,950,0.50,0.95,42
Gordon CountyGA,Gordon County,GA,34.4891699,-84.8567932,950,0.50,0.95,42
Goshen CountyWY,Goshen County,WY,42.0334428,-104.3791912,950,0.50,0.95,42
Gosper CountyNE,Gosper County,NE,40.4604851,-99.8124935,950,0.50,0.95,42
Gove CountyKS,Gove County,KS,38.9271279,-100.5296115,950,0.50,0.95,42
Grady CountyGA,Grady County,GA,30.9050079,-84.2278796,950,0.50,0.95,42
Grady CountyOK,Grady County,OK,35.0472662,-97.87216,950,0.50,0.95,42
Grafton CountyNH,Grafton County,NH,43.9087929,-71.825994,950,0.50,0.95,42
Graham CountyAZ,Graham County,AZ,33.076805,-109.7591675,950,0.50,0.95,42
Graham CountyKS,Graham County,KS,39.3198302,-99.8124935,950,0.50,0.95,42
Graham CountyNC,Graham County,NC,35.3634623,-83.804868,950,0.50,0.95,42
Grainger CountyTN,Grainger County,TN,36.3059333,-83.5496566,950,0.50,0.95,42
Grand CountyCO,Grand County,CO,40.0727382,-106.0640179,950,0.50,0.95,42
Grand CountyUT,Grand County,UT,39.0857902,-109.7591675,950,0.50,0.95,42
Grand Forks CountyND,Grand Forks County,ND,48.0037819,-97.3594525,950,0.50,0.95,42
Grand Isle CountyVT,Grand Isle County,VT,44.8595928,-73.2957299,950,0.50,0.95,42
Grand Traverse CountyMI,Grand Traverse County,MI,44.687984,-85.520024,950,0.50,0.95,42
Granite CountyMT,Granite County,MT,46.3374643,-113.4647823,950,0.50,0.95,42
Grant CountyAR,Grant County,AR,34.2628015,-92.4208713,950,0.50,0.95,42
Grant CountyIN,Grant County,IN,40.4730605,-85.684578,950,0.50,0.95,42
Grant CountyKS,Grant County,KS,37.5245985,-101.2523792,950,0.50,0.95,42
Grant CountyKY,Grant County,KY,38.6565245,-84.6479124,950,0.50,0.95,42
Grant CountyMN,Grant County,MN,45.9729315,-96.0471362,950,0.50,0.95,42
Grant CountyND,Grant County,ND,46.3951108,-101.5535564,950,0.50,0.95,42
Grant CountyNE,Grant County,NE,41.8637754,-101.7979613,950,0.50,0.95,42
Grant CountyNM,Grant County,NM,32.9690805,-108.2377519,950,0.50,0.95,42
Grant CountyOK,Grant County,OK,36.79093,-97.6982272,950,0.50,0.95,42
Grant CountyOR,Grant County,OR,44.4384077,-118.8917326,950,0.50,0.95,42
Grant CountySD,Grant County,SD,45.1752383,-96.7507035,950,0.50,0.95,42
Grant CountyWA,Grant County,WA,47.1981147,-119.3732456,950,0.50,0.95,42
Grant CountyWI,Grant County,WI,42.9397015,-90.6773046,950,0.50,0.95,42
Grant CountyWV,Grant County,WV,39.1042079,-79.1548533,950,0.50,0.95,42
Grant ParishLA,Grant Parish,LA,31.6943716,-92.539603,950,0.50,0.95,42
Granville CountyNC,Granville County,NC,36.2799451,-78.6114999,950,0.50,0.95,42
Gratiot CountyMI,Gratiot County,MI,43.2836505,-84.6897495,950,0.50,0.95,42
Graves CountyKY,Graves County,KY,36.6887728,-88.7108964,950,0.50,0.95,42
Gray CountyKS,Gray County,KS,37.6840811,-100.439656,950,0.50,0.95,42
Gray CountyTX,Gray County,TX,35.3352558,-100.8903099,950,0.50,0.95,42
Grays Harbor CountyWA,Grays Harbor County,WA,46.9953526,-123.7012468,950,0.50,0.95,42
Grayson CountyKY,Grayson County,KY,37.4554962,-86.3782198,950,0.50,0.95,42
Grayson CountyTX,Grayson County,TX,33.7062406,-96.663812,950,0.50,0.95,42
Grayson CountyVA,Grayson County,VA,36.6721195,-81.2078164,950,0.50,0.95,42
Greeley CountyKS,Greeley County,KS,38.4738028,-101.7979613,950,0.50,0.95,42
Greeley CountyNE,Greeley County,NE,41.520541,-98.5721016,950,0.50,0.95,42
Green CountyKY,Green County,KY,37.2570117,-85.56121,950,0.50,0.95,42
Green CountyWI,Green County,WI,42.6287336,-89.6251646,950,0.50,0.95,42
Green Lake CountyWI,Green Lake County,WI,43.863117,-89.0179332,950,0.50,0.95,42
Greenbrier CountyWV,Greenbrier County,WV,38.0198478,-80.543845,950,0.50,0.95,42
Greene CountyAL,Greene County,AL,32.9718107,-87.9334803,950,0.50,0.95,42
Greene CountyAR,Greene County,AR,36.1314931,-90.563609,950,0.50,0.95,42
Greene CountyGA,Greene County,GA,33.5186591,-83.1649001,950,0.50,0.95,42
Greene CountyIA,Greene County,IA,42.0700527,-94.479976,950,0.50,0.95,42
Greene CountyIL,Greene County,IL,39.4029862,-90.3748354,950,0.50,0.95,42
Greene CountyIN,Greene County,IN,39.0321796,-86.9824288,950,0.50,0.95,42
Greene CountyMO,Greene County,MO,37.3311215,-93.5003454,950,0.50,0.95,42
Greene CountyMS,Greene County,MS,31.1646163,-88.7108964,950,0.50,0.95,42
Greene CountyNC,Greene County,NC,35.5013936,-77.6994197,950,0.50,0.95,42
Greene CountyNY,Greene County,NY,42.2957321,-74.123996,950,0.50,0.95,42
Greene CountyOH,Greene County,OH,39.697399,-83.8897057,950,0.50,0.95,42
Greene CountyPA,Greene County,PA,39.8113005,-80.1875065,950,0.50,0.95,42
Greene CountyTN,Greene County,TN,36.1347943,-82.820974,950,0.50,0.95,42
Greene CountyVA,Greene County,VA,38.3120359,-78.4524591,950,0.50,0.95,42
Greenlee CountyAZ,Greenlee County,AZ,33.2405598,-109.2831531,950,0.50,0.95,42
Greensville CountyVA,Greensville County,VA,36.6056886,-77.6077865,950,0.50,0.95,42
Greenup CountyKY,Greenup County,KY,38.5665695,-82.9501558,950,0.50,0.95,42
Greenville CountySC,Greenville County,SC,34.9297484,-82.345189,950,0.50,0.95,42
Greenwood CountyKS,Greenwood County,KS,37.9025905,-96.1526985,950,0.50,0.95,42
Greenwood CountySC,Greenwood County,SC,34.1672949,-82.12784,950,0.50,0.95,42
Greer CountyOK,Greer County,OK,34.9338651,-99.456155,950,0.50,0.95,42
Gregg CountyTX,Gregg County,TX,32.4892547,-94.8520636,950,0.50,0.95,42
Gregory CountySD,Gregory County,SD,43.1983133,-99.1013498,950,0.50,0.95,42
Grenada CountyMS,Grenada County,MS,33.7516314,-89.8130356,950,0.50,0.95,42
Griggs CountyND,Griggs County,ND,47.3876664,-98.2554295,950,0.50,0.95,42
Grimes CountyTX,Grimes County,TX,30.4829853,-95.9832577,950,0.50,0.95,42
Grundy CountyIA,Grundy County,IA,42.4369506,-92.8577105,950,0.50,0.95,42
